Vehicle_ID,Lane,Frame,Timestamp,Lane1_Total,Lane2_Total,Lane3_Total
5,1,1,0.03,1,0,0
1,1,1,0.03,2,0,0
1,2,9,0.3,2,1,0
1,3,15,0.5,2,1,1
5,2,24,0.8,2,2,1
3,1,26,0.87,3,2,1
3,2,36,1.2,3,3,1
3,3,41,1.37,3,3,2
22,1,42,1.4,4,3,2
21,2,42,1.4,4,4,2
25,3,45,1.5,4,4,3
26,1,48,1.6,5,4,3
22,2,48,1.6,5,5,3
4,1,52,1.73,6,5,3
22,3,58,1.93,6,5,4
4,2,58,1.93,6,6,4
35,3,63,2.1,6,6,5
34,1,63,2.1,7,6,5
4,3,63,2.1,7,6,6
37,3,66,2.2,7,6,7
41,1,76,2.53,8,6,7
46,1,85,2.83,9,6,7
47,3,86,2.87,9,6,8
8,1,88,2.93,10,6,8
8,2,96,3.2,10,7,8
51,3,98,3.27,10,7,9
8,3,101,3.37,10,7,10
53,1,108,3.6,11,7,10
62,2,126,4.2,11,8,10
65,3,134,4.47,11,8,11
30,1,135,4.5,12,8,11
67,1,138,4.6,13,8,11
71,3,143,4.77,13,8,12
67,2,144,4.8,13,9,12
67,3,150,5.0,13,9,13
44,1,182,6.07,14,9,13
79,1,183,6.1,15,9,13
80,1,187,6.23,16,9,13
44,2,190,6.33,16,10,13
44,3,196,6.53,16,10,14
68,1,203,6.77,17,10,14
88,1,208,6.93,18,10,14
88,2,212,7.07,18,11,14
88,3,218,7.27,18,11,15
72,1,234,7.8,19,11,15
72,2,244,8.13,19,12,15
72,3,250,8.33,19,12,16
101,1,254,8.47,20,12,16
115,1,256,8.53,21,12,16
77,1,260,8.67,22,12,16
125,1,269,8.97,23,12,16
77,2,269,8.97,23,13,16
101,2,271,9.03,23,14,16
129,1,274,9.13,24,14,16
77,3,274,9.13,24,14,17
131,2,275,9.17,24,15,17
132,1,278,9.27,25,15,17
134,3,282,9.4,25,15,18
132,2,282,9.4,25,16,18
131,3,282,9.4,25,16,19
132,3,288,9.6,25,16,20
133,1,303,10.1,26,16,20
142,1,307,10.23,27,16,20
144,1,320,10.67,28,16,20
100,1,320,10.67,29,16,20
87,1,320,10.67,30,16,20
144,2,322,10.73,30,17,20
146,1,324,10.8,31,17,20
146,2,330,11.0,31,18,20
100,2,332,11.07,31,19,20
144,3,334,11.13,31,19,21
152,3,335,11.17,31,19,22
146,3,337,11.23,31,19,23
100,3,339,11.3,31,19,24
157,1,346,11.53,32,19,24
119,1,346,11.53,33,19,24
119,2,356,11.87,33,20,24
164,1,357,11.9,34,20,24
165,1,358,11.93,35,20,24
109,1,359,11.97,36,20,24
119,3,363,12.1,36,20,25
173,1,366,12.2,37,20,25
172,1,366,12.2,38,20,25
164,2,369,12.3,38,21,25
172,2,375,12.5,38,22,25
164,3,376,12.53,38,22,26
181,3,385,12.83,38,22,27
127,1,393,13.1,39,22,27
127,2,404,13.47,39,23,27
185,1,410,13.67,40,23,27
127,3,411,13.7,40,23,28
185,2,427,14.23,40,24,28
151,1,445,14.83,41,24,28
151,2,454,15.13,41,25,28
202,3,460,15.33,41,25,29
218,1,518,17.27,42,25,29
222,1,528,17.6,43,25,29
222,2,529,17.63,43,26,29
229,2,535,17.83,43,27,29
229,3,536,17.87,43,27,30
230,3,539,17.97,43,27,31
245,1,580,19.33,44,27,31
246,1,582,19.4,45,27,31
243,1,582,19.4,46,27,31
243,2,592,19.73,46,28,31
249,2,593,19.77,46,29,31
243,3,596,19.87,46,29,32
252,3,598,19.93,46,29,33
249,3,599,19.97,46,29,34
233,1,628,20.93,47,29,34
233,2,637,21.23,47,30,34
233,3,643,21.43,47,30,35
207,1,650,21.67,48,30,35
240,1,655,21.83,49,30,35
267,1,661,22.03,50,30,35
270,2,662,22.07,50,31,35
240,2,662,22.07,50,32,35
270,3,667,22.23,50,32,36
267,2,667,22.23,50,33,36
272,1,711,23.7,51,33,36
284,1,716,23.87,52,33,36
289,1,723,24.1,53,33,36
289,2,731,24.37,53,34,36
272,2,731,24.37,53,35,36
299,2,736,24.53,53,36,36
299,3,737,24.57,53,36,37
272,3,744,24.8,53,36,38
311,3,755,25.17,53,36,39
306,1,766,25.53,54,36,39
300,1,778,25.93,55,36,39
331,2,793,26.43,55,37,39
276,1,796,26.53,56,37,39
334,2,800,26.67,56,38,39
334,3,802,26.73,56,38,40
335,2,803,26.77,56,39,40
335,1,804,26.8,57,39,40
337,2,808,26.93,57,40,40
276,2,809,26.97,57,41,40
337,3,810,27.0,57,41,41
276,3,818,27.27,57,41,42
309,1,831,27.7,58,41,42
352,1,833,27.77,59,41,42
351,1,833,27.77,60,41,42
356,3,835,27.83,60,41,43
354,1,835,27.83,61,41,43
358,2,842,28.07,61,42,43
363,1,847,28.23,62,42,43
352,2,852,28.4,62,43,43
358,3,857,28.57,62,43,44
363,2,872,29.07,62,44,44
352,3,873,29.1,62,44,45
342,1,886,29.53,63,44,45
388,1,901,30.03,64,44,45
396,2,917,30.57,64,45,45
396,3,918,30.6,64,45,46
388,2,928,30.93,64,46,46
415,3,958,31.93,64,46,47
418,3,968,32.27,64,46,48
423,1,978,32.6,65,46,48
423,2,984,32.8,65,47,48
423,3,996,33.2,65,47,49
295,1,1000,33.33,66,47,49
342,2,1008,33.6,66,48,49
436,3,1011,33.7,66,48,50
442,3,1021,34.03,66,48,51
